vertex, classification
"[32.863509, -117.032056]", A
"[34.449514,	-120.456736]", A
"[38.035878,	-122.926533]", A
"[38.911561, -123.686649]", A
"[39.822468,	-123.826725]", A
"[42.84094,	-124.529850]", A
"[48.331093,	-124.667486]", A
"[48.962584, -122.777838]", A
"[48.894013,	-93.570684]", A
"[42.271125,	-83.317711]", A
"[47.333159,	-68.310386]", A
"[44.927780,	-66.904136]", A
"[42.226964,	-70.922989]", A
"[42.226964,	-70.879044]", A
"[41.210692,	-70.000138]", A
"[40.612360,	-73.757462]", A
"[34.974283,	-76.284317]", A
"[30.787235,	-81.557755]", A
"[26.625943,	-80.019699]", A
"[25.186268,	-80.413803]", A
"[25.170111,	-81.137528]", A
"[27.869398,	-82.852768]", A
"[29.155727,	-82.795090]", A
"[29.189301,	-83.036789]", A
"[30.101145,	-83.992600]", A
"[29.668930,	-85.359024]", A
"[30.237681,	-89.075150]", A
"[28.990610,	-89.157006]", A
"[29.788104,	-93.285805]", A
"[25.968435,	-97.152810]", A
"[25.968435,	-97.152810]", A
"[26.472313,	-99.074044]", A
"[29.823269,	-101.436104]", A
"[29.766065,	-102.655587]", A
"[28.986520,	-103.134155]", A
"[29.658896,	-104.520488]", A
"[30.604805,	-104.915442]", A
"[31.786568,	-106.504346]", A
"[31.808744,	-108.225080]", A
"[31.397035,	-108.225080]", A
"[31.344271,	-111.069166]", A
"[32.500513,	-114.812757]", A
"[32.719582,	-114.719888]", A
"[32.863509, -117.032056]", A
